subno	helpful	reliant	defbel	yielding	cheerful	indpt	athlet	shy	assert	strpers	forceful	affect	flatter	loyal	analyt	feminine	sympathy	moody	sensitiv	undstand	compass	leaderab	soothe	risk	decide	selfsuff	conscien	dominant	masculin	stand	happy	softspok	warm	truthful	tender	gullible	leadact	childlik	individ	foullang	lovchil	compete	ambitiou	gentle
13	7	7	7	4	6	7	1	3	6	6	4	6	5	7	7	5	7	6	6	7	7	5	6	5	4	4	6	3	2	6	7	5	6	7	5	3	2	3	4	3	7	1	1	7
14	7	7	5	5	7	1	3	5	6	7	1	7	7	7	3	5	7	5	7	7	7	2	7	3	1	1	5	2	1	4	4	3	7	7	7	6	1	5	3	3	7	4	2	7
15	7	7	7	7	7	7	7	1	7	7	7	7	5	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7	1	7	1	7	7	7	7	7	7
23	5	6	7	5	6	6	1	1	6	6	7	7	7	7	7	6	6	4	6	6	5	4	4	2	4	4	5	7	1	4	6	2	5	7	6	1	4	4	4	1	7	2	4	5
25	6	6	7	4	4	7	7	1	5	5	7	6	1	7	4	4	7	5	4	7	5	4	5	7	6	7	7	5	1	7	5	3	6	4	6	1	7	4	5	1	7	5	6	4
26	6	6	5	5	7	6	2	2	5	5	4	4	5	7	7	4	6	2	6	6	5	6	6	3	3	6	6	4	1	4	6	5	6	6	5	2	6	2	4	6	7	2	4	6
27	7	7	7	6	6	7	1	3	5	6	6	6	4	7	7	6	6	1	6	6	6	6	7	5	6	7	7	7	1	6	6	7	6	7	6	1	6	1	7	6	7	7	7	6
28	7	6	7	7	6	5	4	3	3	4	3	4	4	7	4	5	6	3	3	4	4	2	4	3	3	6	7	4	1	3	6	3	5	6	4	3	2	3	3	4	7	4	7	4
29	7	5	7	3	4	5	4	4	4	5	5	7	4	7	5	6	4	5	4	4	6	3	4	3	4	5	5	6	1	5	5	4	4	7	5	1	3	4	5	6	7	5	5	6
30	6	6	7	4	5	6	4	3	5	6	6	5	4	7	6	9	7	6	6	5	6	6	6	6	7	6	7	6	9	6	5	5	5	7	5	2	6	2	6	1	2	4	4	5
31	6	6	4	4	4	4	6	4	4	4	4	4	4	6	7	7	7	4	6	6	6	3	7	5	4	7	6	3	1	6	6	5	5	6	3	1	3	3	6	7	6	2	2	4
32	5	6	6	3	5	7	5	4	5	5	4	3	2	6	7	5	7	4	6	6	6	3	6	4	7	6	4	3	1	4	4	3	3	7	3	2	2	1	5	6	7	1	5	7
33	6	6	6	4	6	5	4	2	4	4	4	6	4	6	5	6	6	4	6	5	4	3	4	1	4	6	7	4	1	5	5	6	4	7	4	2	4	2	4	1	6	3	2	5
34	6	7	7	4	5	6	4	1	5	6	6	6	4	7	6	6	6	4	7	5	6	7	6	6	7	7	7	7	3	7	5	5	6	6	6	7	6	4	6	4	7	7	6	7
35	7	7	7	5	7	7	3	2	6	7	3	7	2	7	7	2	5	1	5	7	5	7	7	4	4	7	7	4	5	7	5	5	5	7	7	4	7	1	7	7	6	7	7	7
37	7	5	7	3	7	6	1	6	4	3	3	3	3	6	6	3	3	3	6	6	6	3	7	4	2	6	6	2	1	6	6	6	6	7	7	2	2	2	6	6	6	2	7	6
38	6	5	6	4	6	5	4	4	4	5	4	6	5	6	6	5	5	5	5	5	5	6	6	4	4	5	6	4	1	6	6	5	6	6	5	4	5	2	4	6	7	6	5	6
40	5	5	4	5	5	6	1	3	4	4	2	7	4	7	4	6	7	4	7	7	6	5	7	4	6	7	6	2	1	4	6	5	6	6	6	7	2	1	6	7	7	5	7	6
48	6	6	5	5	6	6	7	2	6	6	5	5	4	6	7	7	7	4	7	7	6	5	5	4	4	6	7	4	1	6	5	4	6	7	4	6	4	2	5	1	4	7	7	4
49	7	7	5	5	6	6	4	3	4	5	4	6	5	7	6	6	6	1	5	5	6	6	6	5	6	6	6	4	3	5	6	5	6	6	5	4	5	2	4	2	7	5	5	5
52	5	5	4	5	4	5	3	4	3	5	3	3	3	6	5	5	4	4	5	4	4	5	5	3	3	4	7	5	1	3	4	5	4	7	4	2	3	2	4	2	5	4	5	4
53	7	7	6	4	7	7	3	1	6	6	4	5	3	7	7	7	7	1	7	7	6	7	5	7	7	7	6	5	4	6	6	2	6	7	5	1	7	2	6	1	4	5	6	5
54	6	7	7	4	5	7	3	1	7	7	6	7	3	7	6	5	6	3	5	6	6	7	4	4	7	7	6	6	5	7	4	1	6	7	7	3	7	3	6	3	7	6	6	7
55	7	4	7	6	6	4	1	4	4	5	1	6	5	7	5	7	4	1	3	7	6	3	6	4	4	4	7	3	1	4	6	3	6	7	4	1	3	1	2	4	7	2	5	5
56	6	6	7	5	5	5	1	1	5	5	3	7	4	6	6	7	7	4	7	7	7	6	4	4	4	6	7	6	3	5	6	6	7	6	6	6	4	2	6	3	7	6	5	7
57	7	6	3	5	5	6	4	5	6	7	3	7	4	6	6	6	7	2	7	7	6	5	6	3	4	6	7	4	1	4	7	5	6	7	5	0	3	3	7	6	7	5	6	6
66	7	7	6	3	6	7	5	3	6	5	3	6	5	7	5	6	5	3	3	5	4	5	6	3	5	6	7	5	1	6	4	5	5	7	4	1	5	2	6	4	7	6	6	5
68	7	6	5	2	2	7	4	4	4	4	4	6	6	7	4	7	7	4	5	6	6	5	5	4	5	7	7	5	1	4	6	6	5	7	6	2	4	1	5	6	5	4	6	6
69	3	4	5	6	7	5	1	6	3	4	3	7	6	7	3	7	3	5	6	5	4	2	3	3	3	4	4	2	2	3	3	3	4	3	3	4	4	4	4	1	7	4	4	4
70	7	6	4	6	7	5	1	3	5	5	5	7	7	7	5	6	6	6	7	7	7	3	5	6	4	6	6	3	1	6	7	6	7	7	6	4	3	1	7	4	7	2	2	7
71	3	3	7	7	7	6	1	1	5	7	7	6	5	7	4	5	7	1	7	7	7	5	6	2	4	6	7	2	1	6	5	6	6	6	6	6	3	3	5	3	6	1	4	7
72	5	7	5	3	7	7	7	2	2	7	6	4	3	3	6	7	6	4	6	6	5	5	7	2	3	7	6	6	1	4	5	4	7	6	4	6	5	3	5	1	7	7	6	4
74	5	5	6	5	7	6	7	4	6	6	4	6	6	6	6	6	6	2	7	6	7	2	7	3	5	6	6	2	1	6	7	6	6	6	6	2	2	2	5	6	7	2	2	6
77	6	6	7	3	7	7	7	1	6	7	6	7	5	7	7	5	5	3	3	4	5	5	5	7	5	6	6	7	4	6	7	4	6	6	5	3	5	5	5	3	7	7	6	6
78	6	7	7	6	7	7	4	5	6	6	3	6	5	7	6	5	6	2	5	6	5	3	5	1	4	7	6	3	1	7	7	3	6	7	5	2	3	1	7	2	6	5	6	5
80	7	7	7	6	7	7	5	1	7	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	1	7	7	1	5	7	2	7	7	1	7	5	7	7	7	4
81	6	6	6	3	7	6	5	1	3	5	3	6	3	6	3	5	5	2	6	5	5	6	6	2	5	6	6	4	1	5	6	3	5	6	5	3	6	1	5	7	6	6	6	5
82	7	7	7	6	7	7	3	5	6	7	6	6	4	7	7	4	7	3	7	7	7	6	6	6	5	6	7	4	1	7	7	6	7	7	5	2	6	1	6	7	6	5	7	7
83	7	7	7	6	6	6	6	3	4	3	3	7	6	7	6	7	7	1	6	6	6	5	6	3	7	7	7	3	1	5	7	7	7	7	7	4	4	1	5	7	7	3	4	7
84	7	5	7	5	6	4	7	3	3	7	3	6	7	6	2	1	6	4	7	7	7	6	7	4	2	2	5	3	2	2	7	1	6	5	6	7	6	5	5	7	7	7	7	6
85	7	6	7	5	6	6	3	2	6	5	5	7	6	7	7	6	6	4	6	7	7	7	7	4	5	6	7	4	1	5	5	5	7	7	7	7	6	4	5	6	6	6	7	6
86	5	5	7	3	4	4	2	1	3	5	5	6	6	6	5	5	4	6	5	4	4	3	6	2	2	4	5	5	2	4	4	3	3	6	2	3	3	3	5	2	6	3	2	3
87	4	6	4	6	6	3	5	5	3	3	2	5	3	7	4	6	6	2	5	6	6	2	5	3	3	4	6	2	1	3	6	5	6	6	5	4	2	1	3	1	7	3	4	6
88	7	6	7	5	7	7	4	4	6	6	6	7	6	7	3	7	6	6	7	6	6	6	7	6	3	6	7	6	1	6	6	2	6	7	6	1	4	3	6	4	7	4	3	6
89	5	3	6	3	6	3	3	2	5	5	5	6	5	7	5	5	6	1	5	5	4	6	5	5	3	3	6	4	2	6	6	4	5	5	6	6	6	1	5	1	7	4	4	5
90	5	6	7	2	6	7	5	4	6	7	5	4	1	6	6	5	4	3	5	5	5	7	4	7	7	6	6	7	2	7	6	6	4	7	4	2	6	3	7	4	2	6	6	5
91	5	7	5	5	6	6	7	3	5	6	5	5	5	6	4	6	6	1	6	5	6	3	5	3	4	6	6	3	2	3	6	5	5	7	5	2	3	2	4	5	5	4	3	6
95	7	5	3	3	5	1	7	1	6	5	1	6	7	6	9	4	7	4	7	6	4	3	7	5	1	4	7	1	2	4	4	4	5	6	7	7	1	2	4	6	7	7	7	5
97	6	7	7	3	6	7	2	2	5	5	2	5	6	7	5	6	6	2	4	5	6	4	6	3	4	5	6	3	1	7	6	4	6	6	7	6	2	6	7	7	7	2	5	5
98	6	6	6	5	5	6	1	2	6	4	3	6	4	6	6	5	6	4	6	6	6	5	5	3	4	6	6	3	1	6	5	2	5	6	5	1	5	1	5	6	7	2	5	6
99	6	7	6	3	6	7	4	3	5	6	5	7	4	7	6	7	5	3	6	6	6	6	5	7	5	7	5	5	5	7	7	6	7	6	7	7	5	5	7	4	7	3	5	7
101	6	5	4	4	5	5	3	4	5	4	3	5	4	6	4	4	5	4	3	4	5	2	4	3	2	4	5	3	2	3	4	4	4	4	4	5	3	3	4	3	5	4	4	4
102	7	7	7	4	6	7	2	3	4	4	4	7	5	7	5	5	7	3	7	7	7	7	7	1	7	7	7	2	2	6	4	6	6	7	7	2	6	2	6	6	7	6	6	6
104	7	7	6	1	7	4	2	7	2	7	2	7	6	7	7	6	7	4	1	7	7	5	6	1	5	6	5	4	1	1	6	7	7	6	7	1	1	7	5	1	7	4	7	6
107	5	6	7	4	5	5	6	1	5	6	4	6	7	6	6	6	5	4	4	5	4	2	4	2	1	4	4	6	1	4	5	4	6	7	6	4	2	4	4	4	5	4	3	5
109	7	6	6	5	6	5	1	3	4	5	2	7	4	7	6	7	7	4	6	7	7	3	6	4	4	4	6	1	1	5	5	7	6	7	7	5	2	1	6	6	7	4	4	6
110	6	7	5	7	6	7	1	1	3	6	3	5	3	7	5	7	7	5	7	7	7	5	7	1	7	7	7	3	1	6	6	2	3	7	6	2	2	1	6	2	6	4	2	5
111	5	6	6	4	6	7	3	2	6	5	4	5	4	7	4	3	5	4	6	6	6	6	5	6	6	7	5	4	3	6	5	5	6	7	5	3	6	1	5	2	3	6	6	5
112	5	6	7	3	5	7	6	3	5	6	6	6	4	7	7	4	6	2	6	5	6	6	5	2	6	7	7	6	3	6	5	2	5	7	4	1	5	2	7	5	6	7	7	5
113	6	6	6	4	6	6	3	4	5	5	4	6	3	6	5	6	5	2	5	6	5	6	5	6	6	6	6	5	2	5	6	5	6	7	5	2	6	3	5	6	7	5	6	6
114	5	5	7	3	5	7	3	3	2	2	3	4	4	7	3	3	6	4	6	4	4	2	6	3	4	2	6	5	1	7	6	3	6	7	4	4	2	4	6	7	7	6	4	5
115	7	6	6	7	5	7	4	1	5	7	7	6	6	7	5	7	7	4	7	7	7	7	7	7	7	7	7	7	1	7	7	3	7	7	6	7	7	1	7	7	7	7	7	6
116	4	5	3	4	4	3	3	6	5	5	4	3	3	3	4	7	6	3	5	4	5	5	4	5	5	6	7	5	1	6	5	3	5	5	3	3	6	2	6	3	5	3	6	3
117	5	6	6	5	5	5	3	4	5	6	4	6	3	7	5	6	5	4	6	7	7	5	6	4	6	6	6	4	4	5	6	5	6	7	6	4	4	3	5	6	7	3	6	6
120	5	4	3	7	7	7	1	1	7	7	1	6	3	6	4	3	5	3	5	6	6	4	6	6	4	3	4	3	3	4	4	4	5	6	6	5	6	3	5	3	7	6	2	6
121	7	6	7	2	6	7	1	1	5	5	5	5	7	7	6	5	6	2	7	6	5	6	5	5	6	7	5	4	3	5	5	3	5	6	5	2	5	2	6	7	7	7	7	5
122	4	4	7	7	7	6	5	1	1	5	3	7	6	7	6	7	4	5	7	7	6	4	7	7	7	7	7	6	1	6	7	7	7	6	6	2	6	1	5	2	7	7	7	7
123	6	3	7	6	4	2	5	1	4	4	4	6	5	7	5	5	7	3	7	7	7	3	7	1	2	3	7	3	1	5	6	4	7	7	7	7	4	3	4	4	6	2	4	6
124	6	7	6	4	6	7	5	3	6	6	6	5	5	7	5	4	3	4	4	4	4	6	5	5	7	7	7	6	1	6	6	5	5	7	5	2	6	2	6	5	3	6	6	4
125	6	7	7	4	7	7	6	2	3	4	2	6	2	7	5	7	5	2	7	7	7	2	5	2	2	7	7	6	2	4	7	3	6	6	6	3	3	1	4	4	3	3	3	4
126	7	6	5	1	7	4	4	7	3	3	2	7	3	7	1	6	7	3	7	5	6	2	6	3	3	2	4	1	2	3	7	6	7	6	6	7	3	4	5	6	7	3	5	7
127	7	6	7	5	6	5	4	2	6	6	6	7	6	7	5	5	7	4	7	7	7	6	6	6	6	6	6	6	4	7	6	1	6	7	5	4	6	4	4	4	6	6	5	5
128	7	7	7	4	7	7	1	1	7	7	7	7	7	7	3	7	7	4	7	7	7	3	7	7	7	7	7	7	1	7	7	2	7	7	7	1	4	1	7	1	7	4	7	7
129	7	7	7	4	4	7	4	2	7	7	7	5	4	7	7	3	6	2	6	6	6	7	6	4	7	7	5	6	3	6	5	4	5	7	5	2	7	4	7	3	4	7	7	5
134	5	5	6	4	6	6	7	4	5	6	6	5	5	7	6	5	5	5	6	6	6	5	6	6	5	5	6	5	4	6	6	4	5	7	6	4	4	2	6	6	6	6	4	6
135	7	6	6	7	7	6	4	3	4	4	4	6	6	7	5	5	7	1	7	7	7	4	7	6	6	6	7	4	1	7	7	7	7	7	7	7	5	1	4	1	7	3	6	7
136	5	6	6	6	5	4	4	1	6	6	5	7	7	7	6	7	5	7	7	5	6	4	7	4	4	4	5	3	1	6	6	5	7	7	7	6	4	3	5	6	7	5	6	7
138	7	7	7	3	3	7	1	4	7	7	7	7	3	7	4	7	7	4	6	7	7	4	7	1	4	7	7	1	1	7	4	4	4	7	4	4	1	1	1	1	5	1	4	4
140	5	7	5	6	5	3	1	2	7	4	2	6	7	5	5	7	6	5	7	7	6	6	6	5	6	7	7	7	2	7	3	6	7	5	5	2	2	2	2	3	5	6	7	7
141	7	7	7	6	7	7	1	3	6	7	3	7	5	7	6	7	7	3	7	7	7	6	7	7	5	6	7	4	1	6	7	6	7	7	7	1	2	1	6	5	7	6	6	7
142	6	6	7	4	6	6	3	1	6	6	4	6	4	6	5	5	6	4	6	6	5	4	6	5	6	7	6	4	1	6	6	6	6	6	5	7	4	1	5	7	7	5	5	6
143	6	7	7	6	5	7	4	7	3	2	3	7	2	7	3	7	7	1	7	7	7	6	7	7	7	7	7	2	1	3	7	7	7	7	7	2	7	1	4	1	7	7	6	7
144	6	6	7	4	6	6	3	3	6	6	5	6	4	7	4	5	4	5	5	3	3	6	3	2	5	6	7	6	1	6	5	2	4	6	4	4	6	2	6	6	7	5	6	4
145	7	6	6	2	3	6	2	4	3	6	4	6	1	6	6	6	6	6	7	6	6	6	7	7	6	5	7	6	4	7	2	6	5	6	5	4	6	1	5	7	7	7	7	6
146	5	7	7	3	5	7	5	2	5	6	7	6	2	6	4	3	7	5	7	7	7	6	7	4	2	6	5	7	1	5	5	1	4	7	6	1	3	1	3	1	3	3	4	4
148	6	5	7	5	6	4	1	2	5	6	3	7	6	7	7	6	7	3	7	6	7	5	6	2	3	3	5	2	1	5	6	3	6	7	7	5	3	1	5	4	7	3	3	6
149	7	7	6	5	7	7	3	1	5	6	5	7	7	7	1	6	7	2	6	6	6	5	7	7	3	7	6	4	1	7	7	1	6	7	6	6	4	2	6	6	7	7	5	6
150	5	6	5	4	5	5	2	3	4	3	5	4	2	6	3	5	4	5	3	4	4	5	5	6	6	6	7	6	3	5	5	4	3	6	4	3	6	2	4	5	6	3	3	4
151	5	6	7	4	6	6	6	2	5	6	5	7	5	7	6	6	5	2	4	5	5	6	5	6	6	6	7	5	2	7	6	5	6	7	6	1	4	2	7	6	6	7	6	5
152	6	7	6	4	3	6	1	6	4	4	3	6	4	7	5	4	6	4	7	7	6	2	5	6	4	6	7	2	2	7	4	6	5	6	6	4	2	6	6	7	7	3	6	6
153	4	6	3	4	6	6	4	4	3	1	1	3	3	5	3	6	3	2	3	4	4	2	3	4	4	5	5	4	2	3	6	4	4	6	4	2	2	3	6	4	4	4	4	4
154	7	6	6	4	7	7	5	4	5	4	1	7	5	7	6	6	7	1	6	7	6	5	7	5	5	6	7	4	1	5	7	5	7	7	7	4	4	2	6	7	7	4	7	7
156	7	6	6	4	7	6	3	4	4	5	4	7	2	6	3	5	4	4	6	6	7	4	4	4	5	6	5	4	2	5	7	4	6	7	6	3	4	3	5	7	6	4	5	7
157	5	5	6	6	4	4	3	6	3	2	2	7	7	7	7	6	6	7	6	6	6	5	7	4	1	4	7	1	1	4	4	6	3	7	5	6	3	3	5	5	4	5	6	6
158	6	6	6	3	4	6	1	1	7	7	1	6	5	7	6	5	7	4	7	6	7	4	7	4	3	7	7	7	1	7	4	2	6	7	6	7	2	1	7	1	4	2	6	6
159	7	7	7	3	6	7	7	2	5	5	2	6	6	7	5	5	7	1	6	6	6	4	6	5	7	7	7	4	3	6	7	5	6	7	5	2	3	1	6	6	7	4	7	7
160	6	7	6	4	6	7	4	3	6	7	6	7	5	5	7	7	7	4	5	6	6	6	7	3	5	6	7	7	1	5	3	5	6	6	5	5	6	2	5	3	5	7	7	6
166	6	6	6	5	7	4	7	4	4	6	3	6	4	5	3	7	5	2	6	6	5	2	5	3	3	4	6	2	1	4	6	6	5	3	5	3	2	5	5	4	6	2	4	6
167	6	2	7	4	7	7	1	4	1	6	1	6	1	7	6	5	7	2	5	4	5	1	7	3	4	5	4	1	1	7	7	4	6	7	4	4	1	3	7	7	5	4	5	7
183	7	6	7	5	6	6	1	5	5	3	3	6	1	6	3	7	6	3	7	6	6	3	7	3	7	7	5	5	1	6	6	3	5	7	5	3	5	1	4	1	7	1	3	7
184	7	7	7	5	6	6	5	4	6	6	6	6	4	7	5	6	7	2	5	5	6	7	7	4	6	7	7	6	4	7	6	4	6	7	6	2	7	2	6	5	7	4	4	7
190	7	7	7	4	7	7	7	1	7	7	1	7	7	7	7	7	7	1	7	7	7	7	7	4	3	7	7	1	1	7	7	7	7	7	7	1	6	2	7	1	7	7	7	7
192	6	7	5	4	6	6	3	4	5	5	5	6	2	6	6	6	6	2	6	7	6	4	6	3	4	6	7	4	2	5	7	2	6	6	6	2	4	2	4	2	7	5	5	6
202	6	6	7	6	7	6	3	1	5	5	2	7	2	7	6	5	7	1	7	7	7	5	7	7	7	7	7	2	1	7	7	6	7	7	7	2	4	1	5	7	7	6	7	7
203	6	7	7	4	6	6	6	4	5	4	4	4	2	7	4	6	5	2	6	5	4	6	6	4	6	6	6	3	1	7	6	6	6	6	3	2	6	2	6	1	5	2	2	6
204	7	7	7	6	6	7	4	1	7	6	4	7	6	7	7	7	5	4	7	7	6	7	7	7	5	6	7	4	1	7	6	6	6	7	7	3	5	3	6	6	5	7	6	7
205	7	7	7	6	6	6	3	3	6	7	4	6	5	7	6	5	7	3	6	6	6	6	6	7	3	6	6	3	1	6	5	5	6	7	7	2	3	1	5	3	3	3	5	6
206	6	6	7	4	6	7	6	2	6	6	4	7	5	7	7	6	4	1	6	6	6	6	6	6	5	6	7	6	2	6	7	7	7	7	7	4	5	3	6	3	7	6	7	7
208	7	7	5	5	6	7	4	3	5	7	4	7	4	6	7	5	5	2	4	5	5	7	4	4	6	7	7	5	2	7	5	5	6	6	5	3	6	1	6	7	4	5	6	5
210	6	5	4	3	5	5	4	5	4	4	4	5	6	7	7	4	5	2	6	6	5	3	4	2	2	3	7	4	3	4	5	6	4	6	4	1	2	2	5	1	4	6	5	6
212	7	7	7	6	7	7	4	1	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	4	5	7	7	7	3	7	6	3	6	7	6	6	7	1	7	2	7	7	7	6
213	7	7	7	7	6	7	1	3	3	6	2	7	4	7	4	7	7	4	7	7	7	4	6	6	6	7	7	1	1	7	6	6	7	7	6	4	1	1	6	7	7	4	6	7
214	7	6	6	4	6	6	6	4	4	5	3	5	5	6	5	6	5	1	5	5	5	7	5	3	6	6	6	4	1	5	7	5	5	7	5	4	7	1	5	5	6	6	5	6
225	7	7	7	6	7	7	7	1	1	6	1	7	5	7	6	7	7	3	3	6	6	7	7	7	6	7	7	5	1	7	7	7	6	7	6	5	7	1	6	4	7	6	7	7
226	6	6	5	5	7	5	3	4	5	4	3	6	5	7	9	6	6	1	6	7	6	4	6	3	4	6	7	3	1	5	7	6	6	6	6	3	3	2	5	2	7	2	7	7
228	1	1	1	3	5	6	2	3	6	7	6	7	7	7	6	6	6	4	5	4	4	6	5	3	7	4	6	6	3	7	6	2	6	6	5	3	4	3	5	4	6	6	6	5
229	6	6	6	5	5	6	2	4	5	4	4	6	4	5	4	6	5	4	5	5	5	3	5	3	4	5	4	4	1	4	5	5	4	5	5	4	4	3	3	2	6	4	4	5
230	6	6	7	5	6	6	5	4	5	6	6	5	6	6	6	7	6	1	6	6	6	4	6	6	6	7	6	4	1	6	7	2	7	5	6	1	4	2	4	4	6	4	4	6
231	6	5	7	5	6	6	4	5	6	5	5	6	7	7	6	7	7	5	6	7	6	4	6	5	5	6	6	5	2	6	6	6	5	6	5	6	5	6	6	6	5	7	6	6
232	7	7	6	7	6	7	7	3	5	6	4	6	1	6	3	6	2	1	4	5	6	6	7	5	6	7	7	5	1	6	7	5	6	6	7	3	5	2	5	6	6	7	6	6
234	5	5	6	2	5	6	3	3	3	4	4	6	7	5	2	6	7	5	7	5	7	4	5	2	1	5	3	4	1	6	5	5	5	6	3	1	4	3	6	4	3	7	4	3
235	7	7	7	3	7	7	5	1	7	7	7	7	7	7	7	5	7	2	7	4	7	6	7	7	7	7	7	7	4	7	7	1	7	7	6	7	7	2	7	1	7	7	7	6
236	6	5	6	4	5	5	2	4	4	4	4	6	2	6	7	3	6	3	5	6	6	4	5	4	4	5	5	4	2	6	6	5	6	7	6	3	3	5	6	6	6	3	3	5
238	6	5	7	3	7	7	6	1	6	7	4	7	7	7	4	5	6	6	4	4	4	6	7	6	3	4	6	6	2	7	5	2	6	7	5	7	7	2	6	1	2	4	4	5
239	5	6	5	4	6	6	3	4	5	5	4	6	5	7	4	5	6	4	5	6	6	3	5	3	4	6	7	4	1	4	6	6	5	7	5	4	4	1	3	1	7	4	4	5
241	6	7	6	5	7	7	3	4	5	6	5	6	2	7	7	7	5	3	7	7	6	4	7	5	6	7	7	4	1	5	7	6	6	7	5	4	4	1	7	6	7	4	6	7
242	6	7	6	5	7	6	2	2	6	5	4	5	5	7	5	6	5	1	6	6	7	2	7	3	5	6	7	4	1	5	7	4	6	6	6	5	1	3	5	2	6	2	4	4
244	7	7	7	5	6	7	7	1	7	7	7	7	7	7	5	5	7	7	7	7	7	6	7	3	6	7	5	6	3	7	6	1	6	7	6	7	7	0	4	2	6	7	2	6
245	7	6	6	5	6	6	6	3	3	5	4	7	6	7	6	7	7	5	6	6	7	7	7	5	5	6	7	4	1	6	7	7	7	7	7	3	5	3	6	1	7	6	6	7
246	6	2	6	4	4	6	6	6	2	1	1	6	3	6	4	1	6	6	4	6	6	2	6	7	2	2	6	1	3	1	3	6	6	5	6	3	1	1	4	1	7	4	4	6
247	5	3	5	5	5	2	1	4	1	2	1	5	1	7	4	5	7	5	4	6	5	1	3	3	2	5	7	1	1	3	5	4	5	7	5	5	1	1	4	4	7	4	3	5
248	7	6	5	6	6	6	5	5	4	4	4	6	4	6	4	6	6	3	6	6	6	2	6	4	4	5	6	2	1	5	7	7	7	7	7	4	1	7	4	1	7	4	1	6
249	4	7	6	3	5	5	2	4	4	4	1	4	3	7	7	4	6	4	6	5	6	1	6	5	4	5	4	1	1	6	6	3	4	6	4	3	2	2	6	6	7	4	4	5
250	7	7	7	5	7	7	6	2	5	7	3	7	5	7	5	4	6	3	5	6	6	7	6	6	5	7	6	5	1	7	7	4	5	6	5	5	7	1	6	3	7	7	7	6
251	6	7	7	4	6	6	5	2	6	5	4	7	4	6	7	7	5	2	5	6	5	4	5	5	5	6	5	2	1	6	5	6	7	6	7	4	4	2	4	7	7	5	4	6
252	4	5	7	5	6	6	3	4	6	5	5	6	6	6	5	4	7	3	7	7	7	5	7	6	6	6	6	6	1	6	6	3	5	6	6	4	4	4	5	7	7	5	6	6
253	7	3	5	9	7	2	2	3	9	7	3	7	4	7	9	7	7	1	4	5	7	1	7	1	7	9	7	1	1	3	7	1	2	3	7	9	1	1	9	7	7	9	7	7
254	5	3	6	3	5	3	1	1	5	7	5	7	4	7	7	1	7	4	7	7	7	6	7	2	3	4	5	3	1	5	7	3	7	7	7	7	4	2	3	1	7	7	3	7
255	6	7	6	4	5	7	7	1	6	6	6	6	6	6	6	6	6	2	6	6	6	7	6	6	6	6	6	6	1	6	6	4	6	7	7	3	7	2	7	4	6	6	6	6
258	6	7	7	6	7	7	4	5	6	4	4	6	5	7	7	6	6	7	7	7	6	5	6	7	4	6	6	5	2	2	7	4	6	6	6	6	4	4	5	3	7	6	7	7
259	7	7	6	3	6	7	6	3	4	3	3	7	2	7	7	4	7	5	6	7	7	4	5	3	5	7	5	5	4	4	6	4	6	6	6	6	4	6	6	4	7	4	6	6
