"PERS01" "PERS02" "PERS03" "PERS04" "PERS05" "PERS06" "PERS07" "PERS08" "PERS09" "PERS10" "PERS11" "PERS12" "PERS13" "PERS14" "PERS15" "PERS16" "PERS17" "PERS18" "PERS19" "PERS20" "PERS21" "PERS22" "PERS23" "PERS24" "PERS25" "PERS26" "PERS27" "PERS28" "PERS29" "PERS30" "PERS31" "PERS32" "PERS33" "PERS34" "PERS35" "PES36" "PERS37" "PERS38" "PERS39" "PERS40" "PERS41" "PERS42" "PERS43" "PERS44"
"66" 5 1 5 1 4 3 5 3 4 5 3 4 5 2 2 4 5 4 3 5 4 5 3 3 4 4 1 3 2 2 3 5 4 4 2 3 2 3 2 3 3 4 2 3
"67" 4 1 4 3 4 2 4 4 3 5 4 1 4 3 3 4 5 5 3 5 4 4 4 3 4 3 2 4 4 5 4 4 3 3 1 4 3 2 4 4 1 3 4 3
"68" 3 3 5 1 4 4 5 1 3 4 5 2 5 4 4 3 4 3 3 4 4 4 1 5 3 2 4 5 4 3 4 4 4 3 1 2 4 3 2 5 2 5 3 3
"69" 5 1 3 1 5 3 4 3 4 5 5 1 5 1 3 5 5 3 1 5 1 5 1 4 4 5 1 3 1 4 1 3 3 4 3 5 2 4 1 3 4 3 1 5
"70" 4 3 5 4 3 4 5 3 2 3 2 1 5 5 4 3 4 2 5 3 4 5 4 3 3 4 2 4 4 3 4 4 4 4 5 4 1 3 4 3 4 4 2 3
"71" 3 4 5 3 3 4 4 3 3 4 3 3 5 3 5 4 3 1 5 3 5 5 4 4 3 4 4 5 4 3 5 5 5 4 3 3 1 4 4 5 3 4 2 5
"72" 3 1 5 1 3 4 4 1 4 5 3 4 5 5 4 2 4 4 3 5 4 4 3 5 5 3 1 5 5 4 4 4 5 5 2 3 5 3 4 4 3 4 1 3
"73" 4 3 5 4 3 3 5 2 1 5 5 2 5 4 3 4 4 1 5 3 2 4 2 1 4 5 4 5 4 3 3 5 5 2 2 4 3 3 2 4 1 4 1 4
"74" 2 1 5 4 5 5 4 2 2 5 3 1 4 5 5 3 4 2 4 5 5 4 2 1 5 1 3 5 3 5 5 5 4 2 3 2 1 5 4 5 1 5 3 5
"75" 4 4 4 2 3 3 4 3 2 4 4 2 4 4 4 3 4 2 4 3 3 5 4 2 3 2 2 4 4 3 4 4 4 3 4 3 2 3 4 4 4 4 3 4
"76" 5 3 3 1 4 2 3 2 5 4 4 1 3 1 2 4 4 2 1 4 1 4 4 5 4 4 2 2 1 3 1 3 3 4 2 5 2 2 1 3 4 4 3 3
"77" 5 3 4 2 3 1 4 1 2 4 4 2 5 4 2 4 4 3 5 4 1 4 4 2 3 4 2 5 4 3 1 4 4 3 2 5 1 4 4 4 1 5 2 4
"78" 5 1 5 1 5 5 5 2 4 3 3 1 5 3 3 3 5 1 1 3 3 5 1 3 1 5 1 5 3 3 4 4 4 4 4 4 3 3 3 3 3 3 1 5
"79" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 3 4 2 4 3 4 2 5 5 4 1 5 1 4 3 4 2 1 4
"80" 5 4 5 2 4 1 4 2 4 5 5 2 5 5 3 5 5 1 5 5 1 5 1 3 3 5 1 5 3 5 1 5 5 4 3 5 2 5 1 3 1 3 2 4
"81" 5 1 5 1 4 1 5 1 5 4 5 1 5 2 3 5 4 1 1 5 4 5 1 4 4 3 1 5 4 5 3 5 5 5 4 5 1 4 2 5 5 5 1 5
"82" 3 2 5 4 3 2 5 1 5 5 1 2 5 2 5 3 5 1 3 4 4 3 1 3 2 4 4 5 4 5 4 5 5 5 4 4 2 5 1 4 1 5 1 4
"83" 5 3 1 4 5 4 3 4 3 5 4 4 5 5 5 5 3 4 4 5 2 4 5 2 4 1 1 3 5 5 5 3 3 1 3 4 5 5 5 4 1 4 5 5
"84" 4 3 4 4 2 4 3 4 2 4 1 2 4 5 2 3 3 3 5 3 3 4 3 1 3 3 2 5 5 3 4 4 3 2 3 2 2 4 5 NA NA NA NA 4
"85" 1 1 3 4 5 2 4 3 2 2 4 4 4 2 5 2 3 4 3 1 2 2 3 4 1 4 2 2 4 5 2 2 2 3 5 4 2 4 3 4 2 4 2 3
"86" 4 2 2 4 3 1 3 5 1 3 4 3 2 4 2 5 4 3 4 5 3 4 5 1 2 4 4 4 4 2 3 3 2 4 4 3 4 4 5 3 4 5 5 4
"87" 4 3 4 1 4 2 4 3 4 4 4 1 4 3 4 4 3 1 1 4 1 3 1 1 4 4 3 5 2 4 1 3 4 4 1 5 3 4 2 4 1 3 3 5
"88" 3 4 5 3 3 4 4 4 2 3 3 1 5 4 3 3 4 4 4 4 3 4 3 3 3 2 3 3 4 3 3 4 4 3 5 3 2 5 4 3 2 3 3 1
"89" 5 2 5 2 5 1 5 1 5 5 4 1 5 4 5 5 5 3 1 5 1 5 1 5 5 5 1 5 5 4 1 5 5 5 3 5 2 5 1 5 3 5 3 3
"90" 3 4 4 4 2 5 3 3 4 3 1 2 4 1 2 1 4 2 3 3 4 4 5 2 2 4 3 2 5 2 4 4 3 4 2 2 3 2 3 4 4 3 5 3
"91" 3 5 5 2 4 5 4 2 2 5 4 3 5 4 4 4 3 1 4 4 3 5 1 3 4 5 3 4 4 3 4 4 5 2 3 5 1 5 4 4 2 4 3 2
"92" 2 3 5 1 3 4 4 2 4 5 3 1 5 4 2 3 4 1 1 4 4 3 3 4 4 2 4 5 5 5 5 4 5 4 3 4 3 4 4 4 2 3 2 3
"93" 5 3 5 3 4 2 4 4 1 5 4 2 5 4 5 4 3 2 5 5 4 5 4 4 2 4 2 3 4 4 3 4 4 2 5 5 4 3 5 4 5 4 4 3
"94" 5 4 5 2 4 1 4 3 2 5 4 2 5 5 5 4 3 3 4 3 1 5 2 4 4 5 4 4 4 4 1 4 4 4 1 5 4 4 1 5 3 4 3 4
"95" 1 3 2 5 2 5 2 3 1 3 1 3 1 4 5 3 4 5 4 4 4 4 4 1 3 3 4 3 3 3 5 3 1 1 3 1 5 3 5 3 3 3 3 5
"96" NA NA NA NA 3 2 4 1 5 4 5 2 2 5 4 2 5 4 4 4 5 2 4 4 4 5 1 4 3 4 1 4 4 1 4 5 5 3 1 4 1 4 4 4
"97" 5 2 5 3 5 2 5 2 3 5 5 2 5 3 4 5 5 1 3 5 1 5 1 5 5 5 1 4 3 5 1 5 4 3 1 5 1 4 1 3 1 4 3 5
"98" 5 3 4 4 3 1 3 4 2 4 3 4 4 5 3 3 4 4 4 3 1 5 4 2 3 3 1 4 4 4 1 3 2 2 3 4 4 3 3 4 2 4 4 2
"99" 3 4 2 4 3 2 4 5 4 5 5 3 5 4 5 3 4 5 3 4 3 4 5 5 3 5 4 2 5 5 1 4 2 4 2 5 2 2 2 4 1 3 5 5
"100" 2 2 4 3 4 3 5 4 3 5 5 1 5 4 5 4 3 2 5 5 5 4 4 5 5 4 4 4 3 2 4 4 5 5 3 3 4 4 5 5 3 5 3 3
"101" 5 2 5 2 4 1 5 1 3 3 4 1 5 5 4 5 5 1 5 5 1 4 1 2 3 5 1 4 2 4 1 4 4 3 1 5 1 4 2 3 2 4 3 4
"102" 5 5 5 1 4 4 5 5 1 5 5 1 4 5 4 5 1 4 1 5 2 5 1 4 5 5 4 5 5 5 4 5 5 4 1 5 1 5 3 1 5 4 4 3
"103" 5 2 3 1 4 1 4 2 3 4 3 1 4 3 3 3 4 4 3 5 1 5 4 4 4 4 2 4 2 3 1 3 2 3 2 4 2 3 2 3 2 4 3 2
"104" 5 2 5 1 5 2 5 1 4 5 5 1 5 1 5 5 5 1 1 4 1 5 1 5 5 5 1 5 1 4 2 5 5 4 5 5 1 5 1 4 5 5 1 4
"105" 5 4 5 4 4 1 5 1 5 5 5 4 5 4 5 4 5 1 5 5 2 4 1 2 4 4 1 5 5 5 1 5 5 5 5 5 1 5 1 5 1 5 1 5
"106" 2 4 4 4 2 4 3 3 2 4 4 1 5 4 2 2 3 1 3 3 4 4 1 1 2 2 5 3 5 2 5 4 5 3 5 3 2 5 3 2 4 4 4 2
"107" 5 3 5 2 3 2 4 4 3 2 4 3 3 4 3 4 3 2 1 3 1 2 4 2 2 5 2 4 2 3 2 3 4 4 2 5 4 5 4 4 2 5 4 2
"108" 5 5 5 4 4 2 4 1 1 4 4 1 5 4 4 4 3 2 1 4 1 3 1 2 4 5 3 4 5 3 1 4 5 2 4 5 1 4 1 3 2 4 2 5
"109" 5 4 5 2 4 3 4 3 3 5 4 5 5 3 4 4 3 3 3 5 1 3 3 4 5 5 1 4 4 5 2 4 4 4 4 5 4 5 1 4 1 4 2 5
"110" 2 2 4 1 3 4 4 2 2 3 3 2 4 4 3 2 4 4 4 3 4 4 2 1 2 2 2 4 4 3 4 3 3 2 3 2 3 4 3 3 3 3 3 2
"111" 3 3 4 1 4 1 5 4 5 5 4 1 4 1 4 4 5 5 2 4 1 5 5 5 5 4 1 2 1 5 1 5 5 5 1 5 2 5 1 5 1 5 5 5
"112" 5 5 5 4 5 1 5 1 1 5 1 4 5 4 2 4 1 1 4 5 1 3 1 4 5 5 5 4 4 5 1 5 5 2 4 5 1 5 1 3 2 5 3 3
"113" 1 3 4 4 2 4 5 4 2 5 3 1 5 3 3 1 5 3 4 4 5 5 3 2 3 1 3 3 3 3 5 5 2 2 5 1 3 3 5 3 2 4 3 3
"114" 4 4 4 1 3 4 3 4 2 4 4 3 5 2 5 3 5 5 5 5 4 4 5 2 4 3 1 4 2 3 4 4 3 4 4 5 1 1 3 3 1 4 4 4
"115" 3 2 5 4 2 2 4 5 1 5 1 1 5 4 2 5 5 2 5 4 3 5 4 1 2 4 1 2 2 4 5 5 5 4 5 5 1 2 4 2 1 5 4 5
"116" 5 3 2 1 3 3 3 4 4 4 4 4 2 3 3 4 4 2 5 5 1 5 4 2 2 3 3 4 4 5 1 3 3 2 3 4 3 3 5 4 1 5 3 5
"117" 3 4 3 2 3 4 4 2 3 4 3 1 4 4 3 3 4 1 5 4 3 4 4 2 2 4 3 2 4 4 2 3 4 3 4 4 2 4 3 4 3 4 2 3
"118" 3 3 4 2 2 2 4 4 4 4 4 3 2 4 2 3 1 3 5 3 2 4 4 4 5 2 1 3 2 2 1 5 4 2 4 3 4 2 3 4 2 4 4 5
"119" 4 2 4 3 3 4 4 3 3 5 4 1 4 3 5 5 5 3 3 4 3 5 3 3 3 4 1 4 3 4 4 4 3 3 2 4 2 4 5 5 4 4 3 3
"120" 4 4 5 1 4 3 2 4 4 5 3 1 5 4 3 3 3 5 3 4 3 2 3 4 5 3 2 3 4 4 4 2 5 5 2 4 3 4 5 4 4 3 4 3
"121" 3 1 3 1 2 4 4 4 4 3 2 1 5 4 5 3 2 2 3 2 4 5 4 5 2 2 2 4 1 2 4 4 4 4 4 3 2 3 2 4 4 4 4 5
"122" 5 4 5 5 4 5 5 1 2 5 4 1 1 5 5 5 5 1 5 5 1 5 4 1 5 5 1 5 5 5 1 5 5 2 2 5 2 2 5 5 5 5 2 5
"123" 5 4 3 4 4 4 3 2 2 5 1 1 4 4 2 5 2 5 3 5 2 4 5 4 5 3 4 1 4 5 4 3 4 5 1 5 4 5 1 2 1 4 5 3
"124" 5 4 4 1 5 1 4 2 4 5 5 4 4 2 3 5 3 2 3 5 1 4 1 5 5 5 2 5 3 4 2 4 4 4 1 5 3 4 1 5 1 4 3 3
"125" 5 3 2 1 3 1 4 3 5 5 4 1 4 2 3 4 5 3 2 3 3 5 3 4 4 3 3 3 2 3 4 4 3 5 5 5 2 3 4 4 2 4 4 4
"126" 1 1 5 3 4 5 5 1 4 4 4 1 5 5 5 4 5 1 5 2 5 5 1 2 4 1 1 5 4 4 5 5 5 4 4 2 1 4 4 5 1 5 2 4
"127" 4 2 3 2 4 4 4 3 3 3 3 2 4 3 3 3 4 3 2 2 4 3 2 2 4 4 2 4 2 3 2 3 3 3 2 5 2 3 2 3 2 3 3 4
"128" 5 2 5 4 4 2 5 3 2 3 1 4 5 2 1 4 5 1 2 4 4 5 4 2 4 4 3 5 5 4 4 5 4 3 1 4 3 5 1 3 1 5 3 4
"129" 4 1 5 2 4 1 5 1 4 1 4 2 5 2 4 4 5 1 4 3 4 5 2 4 3 2 1 5 4 3 4 5 5 4 5 5 2 5 4 3 4 5 1 3
"130" 2 2 5 4 3 5 3 3 2 4 5 2 5 5 4 4 3 4 5 4 5 3 1 1 4 2 2 5 5 5 5 4 5 3 2 2 1 3 5 4 1 3 3 4
"131" 4 4 4 2 4 3 4 4 2 5 4 4 4 4 3 4 2 1 3 4 2 4 4 2 4 3 2 4 4 3 4 2 4 2 4 5 4 2 4 3 2 4 4 2
"132" 2 1 2 2 4 3 4 4 2 2 1 3 4 3 4 2 1 4 3 1 4 5 1 1 4 1 3 4 2 4 4 4 2 4 2 2 3 1 2 4 4 3 2 4
"133" 5 5 4 3 3 1 2 5 1 3 3 2 3 5 4 3 3 5 4 4 2 5 5 1 1 4 4 4 5 3 3 2 3 1 3 5 3 1 4 3 4 4 5 3
"134" 4 5 5 1 5 4 5 1 5 5 3 5 5 1 5 5 3 1 1 5 2 5 4 5 5 5 5 5 4 5 4 5 5 5 5 5 4 3 5 5 1 3 4 5
"135" 5 4 3 1 4 1 3 3 2 4 5 2 4 3 3 4 3 3 3 4 1 2 3 4 3 4 1 4 3 3 2 3 4 3 3 5 4 3 2 2 3 3 5 2
"136" 4 2 4 2 3 1 5 4 5 3 4 1 2 4 5 3 5 5 3 5 5 4 4 4 4 2 4 1 3 3 5 5 3 2 4 5 5 3 2 4 2 5 4 3
"137" 1 2 2 4 2 2 5 5 2 2 2 2 2 5 5 4 4 4 1 2 2 4 5 1 5 2 2 1 5 4 2 4 5 4 4 2 4 1 4 4 2 1 5 5
"138" 4 4 5 1 3 4 4 1 2 3 2 1 5 2 3 3 3 5 2 3 3 5 3 2 3 2 1 5 4 3 4 4 5 4 5 5 4 5 4 3 4 3 2 3
"139" 5 3 4 1 4 1 3 2 4 4 4 1 4 1 3 4 3 3 2 3 1 4 4 4 4 4 1 3 4 4 1 3 3 4 3 5 3 4 2 4 1 4 2 4
"140" 4 3 4 2 4 2 5 3 5 2 2 5 5 3 4 2 4 5 5 5 2 5 4 3 4 2 3 4 5 4 2 3 4 4 1 5 4 3 4 4 4 5 3 3
"141" 4 3 4 1 4 1 4 2 3 4 4 1 4 2 4 3 3 1 4 4 1 4 3 3 3 4 3 3 3 4 1 3 4 4 3 4 3 3 1 3 1 3 1 5
"142" 5 3 5 4 4 1 5 4 4 3 4 1 5 4 5 5 5 1 4 4 1 5 2 2 3 5 3 5 4 4 1 5 5 4 2 5 1 5 1 5 1 5 4 4
"143" 1 1 5 3 2 4 1 1 3 4 3 1 5 4 4 4 4 2 4 3 4 5 2 4 3 2 1 4 2 3 4 4 4 4 3 2 1 4 4 3 4 4 2 2
"144" 4 1 4 2 4 4 5 2 5 3 4 5 4 3 3 4 5 1 4 3 4 5 1 5 3 3 1 5 2 3 4 5 5 4 3 4 1 5 3 3 2 4 3 4
"145" 4 4 5 2 4 1 4 1 3 4 4 2 4 4 4 4 4 1 4 5 2 4 3 3 4 4 2 4 3 5 3 3 4 3 1 5 3 4 4 5 1 3 4 5
"146" 2 2 3 4 2 2 4 3 3 4 3 3 3 4 2 3 4 4 4 3 4 4 4 3 3 3 2 3 3 2 4 4 3 3 2 3 2 2 4 3 2 3 3 2
