                                                           The SAS System                        16:35 Friday, February 11, 2011   1

                                                   Obs      y        x       z
                                                   108    -1.8     3.0      13.60
                                                   109    -1.7    -0.5    1156.50
                                                   110    -1.7    -0.4    1089.70
                                                   111    -1.7    -0.3    1024.90
                                                   112    -1.7    -0.2     962.10
                                                           The SAS System                        16:35 Friday, February 11, 2011   3

                                                    Obs      y        x       z

                                                    113    -1.7    -0.1    901.30
                                                    114    -1.7    -0.0    842.50
                                                    115    -1.7     0.1    785.70
                                                    116    -1.7     0.2    730.90
                                                    117    -1.7     0.3    678.10
                                                    118    -1.7     0.4    627.30
                                                    119    -1.7     0.5    578.50
                                                    120    -1.7     0.6    531.70
                                                    121    -1.7     0.7    486.90
                                                    122    -1.7     0.8    444.10
                                                    123    -1.7     0.9    403.30
                                                    124    -1.7     1.0    364.50
                                                    125    -1.7     1.1    327.70
                                                    126    -1.7     1.2    292.90
                                                    127    -1.7     1.3    260.10
                                                    128    -1.7     1.4    229.30
                                                    129    -1.7     1.5    200.50
                                                    130    -1.7     1.6    173.70
                                                    131    -1.7     1.7    148.90
                                                    132    -1.7     1.8    126.10
                                                    133    -1.7     1.9    105.30
                                                    134    -1.7     2.0     86.50
                                                    135    -1.7     2.1     69.70
                                                    136    -1.7     2.2     54.90
                                                    137    -1.7     2.3     42.10
                                                    138    -1.7     2.4     31.30
                                                    139    -1.7     2.5     22.50
                                                    140    -1.7     2.6     15.70
                                                    141    -1.7     2.7     10.90
                                                    142    -1.7     2.8      8.10
                                                    143    -1.7     2.9      7.30
                                                    144    -1.7     3.0      8.50
                                                    145    -1.6    -0.5    943.12
                                                    146    -1.6    -0.4    882.92
                                                    147    -1.6    -0.3    824.72
                                                    148    -1.6    -0.2    768.52
                                                    149    -1.6    -0.1    714.32
                                                    150    -1.6    -0.0    662.12
                                                    151    -1.6     0.1    611.92
                                                    152    -1.6     0.2    563.72
                                                    153    -1.6     0.3    517.52
                                                    154    -1.6     0.4    473.32
                                                    155    -1.6     0.5    431.12
                                                    156    -1.6     0.6    390.92
                                                    157    -1.6     0.7    352.72
                                                    158    -1.6     0.8    316.52
                                                    159    -1.6     0.9    282.32
                                                    160    -1.6     1.0    250.12
                                                    161    -1.6     1.1    219.92
                                                    162    -1.6     1.2    191.72
                                                    163    -1.6     1.3    165.52
                                                    164    -1.6     1.4    141.32
                                                    165    -1.6     1.5    119.12
                                                    166    -1.6     1.6     98.92
                                                    167    -1.6     1.7     80.72
                                                    168    -1.6     1.8     64.52
                                                           The SAS System                        16:35 Friday, February 11, 2011   4

                                                    Obs      y        x       z

                                                    169    -1.6     1.9     50.32
                                                    170    -1.6     2.0     38.12
                                                    171    -1.6     2.1     27.92
                                                    172    -1.6     2.2     19.72
                                                    173    -1.6     2.3     13.52
                                                    174    -1.6     2.4      9.32
                                                    175    -1.6     2.5      7.12
                                                    176    -1.6     2.6      6.92
                                                    177    -1.6     2.7      8.72
                                                    178    -1.6     2.8     12.52
                                                    179    -1.6     2.9     18.32
                                                    180    -1.6     3.0     26.12
                                                    181    -1.5    -0.5    762.50
                                                    182    -1.5    -0.4    708.50
                                                    183    -1.5    -0.3    656.50
                                                    184    -1.5    -0.2    606.50
                                                    185    -1.5    -0.1    558.50
                                                    186    -1.5    -0.0    512.50
                                                    187    -1.5     0.1    468.50
                                                    188    -1.5     0.2    426.50
                                                    189    -1.5     0.3    386.50
                                                    190    -1.5     0.4    348.50
                                                    191    -1.5     0.5    312.50
                                                    192    -1.5     0.6    278.50
                                                    193    -1.5     0.7    246.50
                                                    194    -1.5     0.8    216.50
                                                    195    -1.5     0.9    188.50
                                                    196    -1.5     1.0    162.50
                                                    197    -1.5     1.1    138.50
                                                    198    -1.5     1.2    116.50
                                                    199    -1.5     1.3     96.50
                                                    200    -1.5     1.4     78.50
                                                    201    -1.5     1.5     62.50
                                                    202    -1.5     1.6     48.50
                                                    203    -1.5     1.7     36.50
                                                    204    -1.5     1.8     26.50
                                                    205    -1.5     1.9     18.50
                                                    206    -1.5     2.0     12.50
                                                    207    -1.5     2.1      8.50
                                                    208    -1.5     2.2      6.50
                                                    209    -1.5     2.3      6.50
                                                    210    -1.5     2.4      8.50
                                                    211    -1.5     2.5     12.50
                                                    212    -1.5     2.6     18.50
                                                    213    -1.5     2.7     26.50
                                                    214    -1.5     2.8     36.50
                                                    215    -1.5     2.9     48.50
                                                    216    -1.5     3.0     62.50
                                                    217    -1.4    -0.5    610.92
                                                    218    -1.4    -0.4    562.72
                                                    219    -1.4    -0.3    516.52
                                                    220    -1.4    -0.2    472.32
                                                    221    -1.4    -0.1    430.12
                                                    222    -1.4    -0.0    389.92
                                                    223    -1.4     0.1    351.72
                                                    224    -1.4     0.2    315.52
                                                           The SAS System                        16:35 Friday, February 11, 2011   5

                                                    Obs      y        x       z

                                                    225    -1.4     0.3    281.32
                                                    226    -1.4     0.4    249.12
                                                    227    -1.4     0.5    218.92
                                                    228    -1.4     0.6    190.72
                                                    229    -1.4     0.7    164.52
                                                    230    -1.4     0.8    140.32
                                                    231    -1.4     0.9    118.12
                                                    232    -1.4     1.0     97.92
                                                    233    -1.4     1.1     79.72
                                                    234    -1.4     1.2     63.52
                                                    235    -1.4     1.3     49.32
                                                    236    -1.4     1.4     37.12
                                                    237    -1.4     1.5     26.92
                                                    238    -1.4     1.6     18.72
                                                    239    -1.4     1.7     12.52
                                                    240    -1.4     1.8      8.32
                                                    241    -1.4     1.9      6.12
                                                    242    -1.4     2.0      5.92
                                                    243    -1.4     2.1      7.72
                                                    244    -1.4     2.2     11.52
                                                    245    -1.4     2.3     17.32
                                                    246    -1.4     2.4     25.12
                                                    247    -1.4     2.5     34.92
                                                    248    -1.4     2.6     46.72
                                                    249    -1.4     2.7     60.52
                                                    250    -1.4     2.8     76.32
                                                    251    -1.4     2.9     94.12
                                                    252    -1.4     3.0    113.92
                                                    253    -1.3    -0.5    484.90
                                                    254    -1.3    -0.4    442.10
                                                    255    -1.3    -0.3    401.30
                                                    256    -1.3    -0.2    362.50
                                                    257    -1.3    -0.1    325.70
                                                    258    -1.3    -0.0    290.90
                                                    259    -1.3     0.1    258.10
                                                    260    -1.3     0.2    227.30
                                                    261    -1.3     0.3    198.50
                                                    262    -1.3     0.4    171.70
                                                    263    -1.3     0.5    146.90
                                                    264    -1.3     0.6    124.10
                                                    265    -1.3     0.7    103.30
                                                    266    -1.3     0.8     84.50
                                                    267    -1.3     0.9     67.70
                                                    268    -1.3     1.0     52.90
                                                    269    -1.3     1.1     40.10
                                                    270    -1.3     1.2     29.30
                                                    271    -1.3     1.3     20.50
                                                    272    -1.3     1.4     13.70
                                                    273    -1.3     1.5      8.90
                                                    274    -1.3     1.6      6.10
                                                    275    -1.3     1.7      5.30
                                                    276    -1.3     1.8      6.50
                                                    277    -1.3     1.9      9.70
                                                    278    -1.3     2.0     14.90
                                                    279    -1.3     2.1     22.10
                                                    280    -1.3     2.2     31.30
                                                           The SAS System                        16:35 Friday, February 11, 2011   6

                                                    Obs      y        x       z

                                                    281    -1.3     2.3     42.50
                                                    282    -1.3     2.4     55.70
                                                    283    -1.3     2.5     70.90
                                                    284    -1.3     2.6     88.10
                                                    285    -1.3     2.7    107.30
                                                    286    -1.3     2.8    128.50
                                                    287    -1.3     2.9    151.70
                                                    288    -1.3     3.0    176.90
                                                    289    -1.2    -0.5    381.20
                                                    290    -1.2    -0.4    343.40
                                                    291    -1.2    -0.3    307.60
                                                    292    -1.2    -0.2    273.80
                                                    293    -1.2    -0.1    242.00
                                                    294    -1.2    -0.0    212.20
                                                    295    -1.2     0.1    184.40
                                                    296    -1.2     0.2    158.60
                                                    297    -1.2     0.3    134.80
                                                    298    -1.2     0.4    113.00
                                                    299    -1.2     0.5     93.20
                                                    300    -1.2     0.6     75.40
                                                    301    -1.2     0.7     59.60
                                                    302    -1.2     0.8     45.80
                                                    303    -1.2     0.9     34.00
                                                    304    -1.2     1.0     24.20
                                                    305    -1.2     1.1     16.40
                                                    306    -1.2     1.2     10.60
                                                    307    -1.2     1.3      6.80
                                                    308    -1.2     1.4      5.00
                                                    309    -1.2     1.5      5.20
                                                    310    -1.2     1.6      7.40
                                                    311    -1.2     1.7     11.60
                                                    312    -1.2     1.8     17.80
                                                    313    -1.2     1.9     26.00
                                                    314    -1.2     2.0     36.20
                                                    315    -1.2     2.1     48.40
                                                    316    -1.2     2.2     62.60
                                                    317    -1.2     2.3     78.80
                                                    318    -1.2     2.4     97.00
                                                    319    -1.2     2.5    117.20
                                                    320    -1.2     2.6    139.40
                                                    321    -1.2     2.7    163.60
                                                    322    -1.2     2.8    189.80
                                                    323    -1.2     2.9    218.00
                                                    324    -1.2     3.0    248.20
                                                    325    -1.1    -0.5    296.82
                                                    326    -1.1    -0.4    263.62
                                                    327    -1.1    -0.3    232.42
                                                    328    -1.1    -0.2    203.22
                                                    329    -1.1    -0.1    176.02
                                                    330    -1.1    -0.0    150.82
                                                    331    -1.1     0.1    127.62
                                                    332    -1.1     0.2    106.42
                                                    333    -1.1     0.3     87.22
                                                    334    -1.1     0.4     70.02
                                                    335    -1.1     0.5     54.82
                                                    336    -1.1     0.6     41.62
                                                           The SAS System                        16:35 Friday, February 11, 2011   7

                                                    Obs      y        x       z

                                                    337    -1.1     0.7     30.42
                                                    338    -1.1     0.8     21.22
                                                    339    -1.1     0.9     14.02
                                                    340    -1.1     1.0      8.82
                                                    341    -1.1     1.1      5.62
                                                    342    -1.1     1.2      4.42
                                                    343    -1.1     1.3      5.22
                                                    344    -1.1     1.4      8.02
                                                    345    -1.1     1.5     12.82
                                                    346    -1.1     1.6     19.62
                                                    347    -1.1     1.7     28.42
                                                    348    -1.1     1.8     39.22
                                                    349    -1.1     1.9     52.02
                                                    350    -1.1     2.0     66.82
                                                    351    -1.1     2.1     83.62
                                                    352    -1.1     2.2    102.42
                                                    353    -1.1     2.3    123.22
                                                    354    -1.1     2.4    146.02
                                                    355    -1.1     2.5    170.82
                                                    356    -1.1     2.6    197.62
                                                    357    -1.1     2.7    226.42
                                                    358    -1.1     2.8    257.22
                                                    359    -1.1     2.9    290.02
                                                    360    -1.1     3.0    324.82
                                                    361    -1.0    -0.5    229.00
                                                    362    -1.0    -0.4    200.00
                                                    363    -1.0    -0.3    173.00
                                                    364    -1.0    -0.2    148.00
                                                    365    -1.0    -0.1    125.00
                                                    366    -1.0    -0.0    104.00
                                                    367    -1.0     0.1     85.00
                                                    368    -1.0     0.2     68.00
                                                    369    -1.0     0.3     53.00
                                                    370    -1.0     0.4     40.00
                                                    371    -1.0     0.5     29.00
                                                    372    -1.0     0.6     20.00
                                                    373    -1.0     0.7     13.00
                                                    374    -1.0     0.8      8.00
                                                    375    -1.0     0.9      5.00
                                                    376    -1.0     1.0      4.00
                                                    377    -1.0     1.1      5.00
                                                    378    -1.0     1.2      8.00
                                                    379    -1.0     1.3     13.00
                                                    380    -1.0     1.4     20.00
                                                    381    -1.0     1.5     29.00
                                                    382    -1.0     1.6     40.00
                                                    383    -1.0     1.7     53.00
                                                    384    -1.0     1.8     68.00
                                                    385    -1.0     1.9     85.00
                                                    386    -1.0     2.0    104.00
                                                    387    -1.0     2.1    125.00
                                                    388    -1.0     2.2    148.00
                                                    389    -1.0     2.3    173.00
                                                    390    -1.0     2.4    200.00
                                                    391    -1.0     2.5    229.00
                                                    392    -1.0     2.6    260.00
                                                           The SAS System                        16:35 Friday, February 11, 2011   8

                                                    Obs       y       x       z

                                                    393    -1.0     2.7    293.00
                                                    394    -1.0     2.8    328.00
                                                    395    -1.0     2.9    365.00
                                                    396    -1.0     3.0    404.00
                                                    397    -0.9    -0.5    175.22
                                                    398    -0.9    -0.4    150.02
                                                    399    -0.9    -0.3    126.82
                                                    400    -0.9    -0.2    105.62
                                                    401    -0.9    -0.1     86.42
                                                    402    -0.9    -0.0     69.22
                                                    403    -0.9     0.1     54.02
                                                    404    -0.9     0.2     40.82
                                                    405    -0.9     0.3     29.62
                                                    406    -0.9     0.4     20.42
                                                    407    -0.9     0.5     13.22
                                                    408    -0.9     0.6      8.02
                                                    409    -0.9     0.7      4.82
                                                    410    -0.9     0.8      3.62
                                                    411    -0.9     0.9      4.42
                                                    412    -0.9     1.0      7.22
                                                    413    -0.9     1.1     12.02
                                                    414    -0.9     1.2     18.82
                                                    415    -0.9     1.3     27.62
                                                    416    -0.9     1.4     38.42
                                                    417    -0.9     1.5     51.22
                                                    418    -0.9     1.6     66.02
                                                    419    -0.9     1.7     82.82
                                                    420    -0.9     1.8    101.62
                                                    421    -0.9     1.9    122.42
                                                    422    -0.9     2.0    145.22
                                                    423    -0.9     2.1    170.02
                                                    424    -0.9     2.2    196.82
                                                    425    -0.9     2.3    225.62
                                                    426    -0.9     2.4    256.42
                                                    427    -0.9     2.5    289.22
                                                    428    -0.9     2.6    324.02
                                                    429    -0.9     2.7    360.82
                                                    430    -0.9     2.8    399.62
                                                    431    -0.9     2.9    440.42
                                                    432    -0.9     3.0    483.22
                                                    433    -0.8    -0.5    133.20
                                                    434    -0.8    -0.4    111.40
                                                    435    -0.8    -0.3     91.60
                                                    436    -0.8    -0.2     73.80
                                                    437    -0.8    -0.1     58.00
                                                    438    -0.8    -0.0     44.20
                                                    439    -0.8     0.1     32.40
                                                    440    -0.8     0.2     22.60
                                                    441    -0.8     0.3     14.80
                                                    442    -0.8     0.4      9.00
                                                    443    -0.8     0.5      5.20
                                                    444    -0.8     0.6      3.40
                                                    445    -0.8     0.7      3.60
                                                    446    -0.8     0.8      5.80
                                                    447    -0.8     0.9     10.00
                                                    448    -0.8     1.0     16.20
                                                           The SAS System                        16:35 Friday, February 11, 2011   9

                                                    Obs       y       x      z

                                                    449    -0.8     1.1     24.4
                                                    450    -0.8     1.2     34.6
                                                    451    -0.8     1.3     46.8
                                                    452    -0.8     1.4     61.0
                                                    453    -0.8     1.5     77.2
                                                    454    -0.8     1.6     95.4
                                                    455    -0.8     1.7    115.6
                                                    456    -0.8     1.8    137.8
                                                    457    -0.8     1.9    162.0
                                                    458    -0.8     2.0    188.2
                                                    459    -0.8     2.1    216.4
                                                    460    -0.8     2.2    246.6
                                                    461    -0.8     2.3    278.8
                                                    462    -0.8     2.4    313.0
                                                    463    -0.8     2.5    349.2
                                                    464    -0.8     2.6    387.4
                                                    465    -0.8     2.7    427.6
                                                    466    -0.8     2.8    469.8
                                                    467    -0.8     2.9    514.0
                                                    468    -0.8     3.0    560.2
                                                    469    -0.7    -0.5    100.9
                                                    470    -0.7    -0.4     82.1
                                                    471    -0.7    -0.3     65.3
                                                    472    -0.7    -0.2     50.5
                                                    473    -0.7    -0.1     37.7
                                                    474    -0.7    -0.0     26.9
                                                    475    -0.7     0.1     18.1
                                                    476    -0.7     0.2     11.3
                                                    477    -0.7     0.3      6.5
                                                    478    -0.7     0.4      3.7
                                                    479    -0.7     0.5      2.9
                                                    480    -0.7     0.6      4.1
                                                    481    -0.7     0.7      7.3
                                                    482    -0.7     0.8     12.5
                                                    483    -0.7     0.9     19.7
                                                    484    -0.7     1.0     28.9
                                                    485    -0.7     1.1     40.1
                                                    486    -0.7     1.2     53.3
                                                    487    -0.7     1.3     68.5
                                                    488    -0.7     1.4     85.7
                                                    489    -0.7     1.5    104.9
                                                    490    -0.7     1.6    126.1
                                                    491    -0.7     1.7    149.3
                                                    492    -0.7     1.8    174.5
                                                    493    -0.7     1.9    201.7
                                                    494    -0.7     2.0    230.9
                                                    495    -0.7     2.1    262.1
                                                    496    -0.7     2.2    295.3
                                                    497    -0.7     2.3    330.5
                                                    498    -0.7     2.4    367.7
                                                    499    -0.7     2.5    406.9
                                                    500    -0.7     2.6    448.1
                                                    501    -0.7     2.7    491.3
                                                    502    -0.7     2.8    536.5
                                                    503    -0.7     2.9    583.7
                                                    504    -0.7     3.0    632.9
                                                           The SAS System                        16:35 Friday, February 11, 2011  10

                                                    Obs       y       x       z

                                                    505    -0.6    -0.5     76.52
                                                    506    -0.6    -0.4     60.32
                                                    507    -0.6    -0.3     46.12
                                                    508    -0.6    -0.2     33.92
                                                    509    -0.6    -0.1     23.72
                                                    510    -0.6    -0.0     15.52
                                                    511    -0.6     0.1      9.32
                                                    512    -0.6     0.2      5.12
                                                    513    -0.6     0.3      2.92
                                                    514    -0.6     0.4      2.72
                                                    515    -0.6     0.5      4.52
                                                    516    -0.6     0.6      8.32
                                                    517    -0.6     0.7     14.12
                                                    518    -0.6     0.8     21.92
                                                    519    -0.6     0.9     31.72
                                                    520    -0.6     1.0     43.52
                                                    521    -0.6     1.1     57.32
                                                    522    -0.6     1.2     73.12
                                                    523    -0.6     1.3     90.92
                                                    524    -0.6     1.4    110.72
                                                    525    -0.6     1.5    132.52
                                                    526    -0.6     1.6    156.32
                                                    527    -0.6     1.7    182.12
                                                    528    -0.6     1.8    209.92
                                                    529    -0.6     1.9    239.72
                                                    530    -0.6     2.0    271.52
                                                    531    -0.6     2.1    305.32
                                                    532    -0.6     2.2    341.12
                                                    533    -0.6     2.3    378.92
                                                    534    -0.6     2.4    418.72
                                                    535    -0.6     2.5    460.52
                                                    536    -0.6     2.6    504.32
                                                    537    -0.6     2.7    550.12
                                                    538    -0.6     2.8    597.92
                                                    539    -0.6     2.9    647.72
                                                    540    -0.6     3.0    699.52
                                                    541    -0.5    -0.5     58.50
                                                    542    -0.5    -0.4     44.50
                                                    543    -0.5    -0.3     32.50
                                                    544    -0.5    -0.2     22.50
                                                    545    -0.5    -0.1     14.50
                                                    546    -0.5    -0.0      8.50
                                                    547    -0.5     0.1      4.50
                                                    548    -0.5     0.2      2.50
                                                    549    -0.5     0.3      2.50
                                                    550    -0.5     0.4      4.50
                                                    551    -0.5     0.5      8.50
                                                    552    -0.5     0.6     14.50
                                                    553    -0.5     0.7     22.50
                                                    554    -0.5     0.8     32.50
                                                    555    -0.5     0.9     44.50
                                                    556    -0.5     1.0     58.50
                                                    557    -0.5     1.1     74.50
                                                    558    -0.5     1.2     92.50
                                                    559    -0.5     1.3    112.50
                                                    560    -0.5     1.4    134.50
                                                           The SAS System                        16:35 Friday, February 11, 2011  11

                                                    Obs       y       x       z

                                                    561    -0.5     1.5    158.50
                                                    562    -0.5     1.6    184.50
                                                    563    -0.5     1.7    212.50
                                                    564    -0.5     1.8    242.50
                                                    565    -0.5     1.9    274.50
                                                    566    -0.5     2.0    308.50
                                                    567    -0.5     2.1    344.50
                                                    568    -0.5     2.2    382.50
                                                    569    -0.5     2.3    422.50
                                                    570    -0.5     2.4    464.50
                                                    571    -0.5     2.5    508.50
                                                    572    -0.5     2.6    554.50
                                                    573    -0.5     2.7    602.50
                                                    574    -0.5     2.8    652.50
                                                    575    -0.5     2.9    704.50
                                                    576    -0.5     3.0    758.50
                                                    577    -0.4    -0.5     45.52
                                                    578    -0.4    -0.4     33.32
                                                    579    -0.4    -0.3     23.12
                                                    580    -0.4    -0.2     14.92
                                                    581    -0.4    -0.1      8.72
                                                    582    -0.4    -0.0      4.52
                                                    583    -0.4     0.1      2.32
                                                    584    -0.4     0.2      2.12
                                                    585    -0.4     0.3      3.92
                                                    586    -0.4     0.4      7.72
                                                    587    -0.4     0.5     13.52
                                                    588    -0.4     0.6     21.32
                                                    589    -0.4     0.7     31.12
                                                    590    -0.4     0.8     42.92
                                                    591    -0.4     0.9     56.72
                                                    592    -0.4     1.0     72.52
                                                    593    -0.4     1.1     90.32
                                                    594    -0.4     1.2    110.12
                                                    595    -0.4     1.3    131.92
                                                    596    -0.4     1.4    155.72
                                                    597    -0.4     1.5    181.52
                                                    598    -0.4     1.6    209.32
                                                    599    -0.4     1.7    239.12
                                                    600    -0.4     1.8    270.92
                                                    601    -0.4     1.9    304.72
                                                    602    -0.4     2.0    340.52
                                                    603    -0.4     2.1    378.32
                                                    604    -0.4     2.2    418.12
                                                    605    -0.4     2.3    459.92
                                                    606    -0.4     2.4    503.72
                                                    607    -0.4     2.5    549.52
                                                    608    -0.4     2.6    597.32
                                                    609    -0.4     2.7    647.12
                                                    610    -0.4     2.8    698.92
                                                    611    -0.4     2.9    752.72
                                                    612    -0.4     3.0    808.52
                                                    613    -0.3    -0.5     36.50
                                                    614    -0.3    -0.4     25.70
                                                    615    -0.3    -0.3     16.90
                                                    616    -0.3    -0.2     10.10
                                                           The SAS System                        16:35 Friday, February 11, 2011  12

                                                    Obs       y       x      z

                                                    617    -0.3    -0.1      5.3
                                                    618    -0.3    -0.0      2.5
                                                    619    -0.3     0.1      1.7
                                                    620    -0.3     0.2      2.9
                                                    621    -0.3     0.3      6.1
                                                    622    -0.3     0.4     11.3
                                                    623    -0.3     0.5     18.5
                                                    624    -0.3     0.6     27.7
                                                    625    -0.3     0.7     38.9
                                                    626    -0.3     0.8     52.1
                                                    627    -0.3     0.9     67.3
                                                    628    -0.3     1.0     84.5
                                                    629    -0.3     1.1    103.7
                                                    630    -0.3     1.2    124.9
                                                    631    -0.3     1.3    148.1
                                                    632    -0.3     1.4    173.3
                                                    633    -0.3     1.5    200.5
                                                    634    -0.3     1.6    229.7
                                                    635    -0.3     1.7    260.9
                                                    636    -0.3     1.8    294.1
                                                    637    -0.3     1.9    329.3
                                                    638    -0.3     2.0    366.5
                                                    639    -0.3     2.1    405.7
                                                    640    -0.3     2.2    446.9
                                                    641    -0.3     2.3    490.1
                                                    642    -0.3     2.4    535.3
                                                    643    -0.3     2.5    582.5
                                                    644    -0.3     2.6    631.7
                                                    645    -0.3     2.7    682.9
                                                    646    -0.3     2.8    736.1
                                                    647    -0.3     2.9    791.3
                                                    648    -0.3     3.0    848.5
                                                    649    -0.2    -0.5     30.6
                                                    650    -0.2    -0.4     20.8
                                                    651    -0.2    -0.3     13.0
                                                    652    -0.2    -0.2      7.2
                                                    653    -0.2    -0.1      3.4
                                                    654    -0.2    -0.0      1.6
                                                    655    -0.2     0.1      1.8
                                                    656    -0.2     0.2      4.0
                                                    657    -0.2     0.3      8.2
                                                    658    -0.2     0.4     14.4
                                                    659    -0.2     0.5     22.6
                                                    660    -0.2     0.6     32.8
                                                    661    -0.2     0.7     45.0
                                                    662    -0.2     0.8     59.2
                                                    663    -0.2     0.9     75.4
                                                    664    -0.2     1.0     93.6
                                                    665    -0.2     1.1    113.8
                                                    666    -0.2     1.2    136.0
                                                    667    -0.2     1.3    160.2
                                                    668    -0.2     1.4    186.4
                                                    669    -0.2     1.5    214.6
                                                    670    -0.2     1.6    244.8
                                                    671    -0.2     1.7    277.0
                                                    672    -0.2     1.8    311.2
                                                           The SAS System                        16:35 Friday, February 11, 2011  13

                                                    Obs       y       x       z

                                                    673    -0.2     1.9    347.40
                                                    674    -0.2     2.0    385.60
                                                    675    -0.2     2.1    425.80
                                                    676    -0.2     2.2    468.00
                                                    677    -0.2     2.3    512.20
                                                    678    -0.2     2.4    558.40
                                                    679    -0.2     2.5    606.60
                                                    680    -0.2     2.6    656.80
                                                    681    -0.2     2.7    709.00
                                                    682    -0.2     2.8    763.20
                                                    683    -0.2     2.9    819.40
                                                    684    -0.2     3.0    877.60
                                                    685    -0.1    -0.5     27.22
                                                    686    -0.1    -0.4     18.02
                                                    687    -0.1    -0.3     10.82
                                                    688    -0.1    -0.2      5.62
                                                    689    -0.1    -0.1      2.42
                                                    690    -0.1    -0.0      1.22
                                                    691    -0.1     0.1      2.02
                                                    692    -0.1     0.2      4.82
                                                    693    -0.1     0.3      9.62
                                                    694    -0.1     0.4     16.42
                                                    695    -0.1     0.5     25.22
